adapter_name,adapter_sku,adapter_brand,stroller_brand,stroller_models_named,car_seat_brands_named,car_seat_models_named,adapter_status,adapter_generation,adapter_revision,provider,catalog_product_id,babylist_url,amazon_url,other_retailer_url,exact_product_link,price,image_available,compatibility_rows_using_adapter,hard_coded_rule_source,inferred_from_title,duplicate_group,current_or_legacy,notes
THULE Spring Stroller Car Seat Adapter Maxi Cosi - Black,,Thule,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9dwa4001u6byee9z5z504,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-spring-stroller-car-seat-adapter-maxi-cosi%3Fvariant%3D31761602576470,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-spring-stroller-car-seat-adapter-maxi-cosi%3Fvariant%3D31761602576470,59.95,yes,0,,yes,,current,productType=stroller adapter; active=t
"Thule - Urban Glide 3 car seat Adapter Universal/Chicco®, Black",,Thule,,,,,SOLD_SEPARATELY,,,shopify_macrobaby,cmqx6lyr0001o3ld4ll770q0c,,,https://www.macrobaby.com/products/thule-urban-glide-3-car-seat-adapter-universal-chicco%C2%AE-black?_j=taylormadebabyco.com,https://www.macrobaby.com/products/thule-urban-glide-3-car-seat-adapter-universal-chicco%C2%AE-black?_j=taylormadebabyco.com,79.95,yes,0,,yes,,current,productType=stroller adapter; active=t
Thule Urban Glide 3 Double Bassinet Adapters in Black,,Thule,,,,,DUAL_ADAPTER_SETUP,,,babylist_impact,cmqpj4xll0j10dqwr369d9s2m,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1883225&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fthule-urban-glide-3-double-bassinet-adapters%2F47015%2F1883225&intsrc=CATF_8981,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1883225&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fthule-urban-glide-3-double-bassinet-adapters%2F47015%2F1883225&intsrc=CATF_8981,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1883225&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fthule-urban-glide-3-double-bassinet-adapters%2F47015%2F1883225&intsrc=CATF_8981,24.95,yes,0,,yes,,current,productType=stroller adapter; active=t
Thule - Urban Glide 3 Double Car Seat Adapter For Maxi-Cosi Black,,Thule,,,,,DUAL_ADAPTER_SETUP,,,shopify_macrobaby,cmqx6lml4001f3ld4ia1tvlyh,,,https://www.macrobaby.com/products/thule-urban-glide-3-double-car-seat-adapter-for-maxi-cosi-black?_j=taylormadebabyco.com,https://www.macrobaby.com/products/thule-urban-glide-3-double-car-seat-adapter-for-maxi-cosi-black?_j=taylormadebabyco.com,64.95,yes,0,,yes,,current,productType=stroller adapter; active=t
Thule - Urban Glide 3 Double Car Seat Adapter Universal Black,,Thule,,,,,DUAL_ADAPTER_SETUP,,,shopify_macrobaby,cmqx6m1zs00203ld4v3yg5xqz,,,https://www.macrobaby.com/products/thule-urban-glide-3-double-car-seat-adapter-universal-black?_j=taylormadebabyco.com,https://www.macrobaby.com/products/thule-urban-glide-3-double-car-seat-adapter-universal-black?_j=taylormadebabyco.com,74.95,yes,0,,yes,,current,productType=stroller adapter; active=t
Thule - Urban Glide 3 Single Car Seat Adapter For Maxi-Cosi Black,,Thule,,,,,SOLD_SEPARATELY,,,shopify_macrobaby,cmqx6lzv9001r3ld4exk42ilm,,,https://www.macrobaby.com/products/thule-urban-glide-3-single-car-seat-adapter-for-maxi-cosi-black?_j=taylormadebabyco.com,https://www.macrobaby.com/products/thule-urban-glide-3-single-car-seat-adapter-for-maxi-cosi-black?_j=taylormadebabyco.com,69.95,yes,0,,yes,,current,productType=stroller adapter; active=t
THULE Urban Glide/Glide Car Seat Adapter for Chicco,,Thule,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9e17800266byelqano5me,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-for-chicco%3Fvariant%3D32263061471318,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-for-chicco%3Fvariant%3D32263061471318,59.95,yes,0,,yes,,current,productType=stroller adapter; active=t
THULE Urban Glide / Glide Car Seat Adapter for Maxi Cosi,,Thule,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9e0xi00236byeehjkyrch,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-for-maxi-cosi%3Fvariant%3D32260534272086,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-for-maxi-cosi%3Fvariant%3D32260534272086,59.95,yes,0,,yes,,current,productType=stroller adapter; active=t
Thule Urban Glide/Glide Car Seat Adapter Universal,,Thule,,,,,SOLD_SEPARATELY,,,awin_anbbaby,cmqu9d51i00006bye3jbwh99g,,,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-universal%3Fvariant%3D16410653360228,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-urban-glide-glide-car-seat-adapter-universal%3Fvariant%3D16410653360228,69.95,yes,0,,yes,,current,productType=stroller adapter; active=t
"Uppababy - Adapters For Minu Duo (Mesa/Mesa V2, Mesa Max, Mesa I-Size, Aria)",,UPPAbaby,,,,,SOLD_SEPARATELY,V2,,shopify_macrobaby,cmqx4jyro00a03a8utsqub4o1,,,https://www.macrobaby.com/products/uppababy-adapters-for-minu-duo-mesa-mesa-v2-mesa-max-mesa-i-size-aria?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-adapters-for-minu-duo-mesa-mesa-v2-mesa-max-mesa-i-size-aria?_j=taylormadebabyco.com,39.99,yes,0,,yes,DUP,current,productType=stroller adapter; active=t
UPPAbaby Adapters for Minu Duo (Mesa / Mesa V2 / Mesa Max / Mesa i-Size / Aria),,UPPAbaby,,,,,SOLD_SEPARATELY,V2,,babylist_impact,cmqpj8avj0k3ldqwr6yf99tpg,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-minu-duo-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F69536%2F2306166&partnerpropertyid=7490466,,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-minu-duo-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F69536%2F2306166&partnerpropertyid=7490466,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-minu-duo-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F69536%2F2306166&partnerpropertyid=7490466,39.99,yes,0,,yes,DUP,current,productType=car seat adapter; active=t
