canonical_brand,canonical_model,stroller_id,compatibility_row_count,reason,recommended_action
Silver Cross,Wave,silver-cross-wave,15,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Silver Cross,Wave 3 Single to Double,cmqpqr1zv002a7qlltuhbvanr,8,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Stokke,YOYO+,babyzen-yoyo-plus,7,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Thule,Glide 2,thule-glide-2,9,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Thule,Sleek,thule-sleek,11,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Thule,Urban Glide 2,thule-urban-glide-2,10,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Thule,Urban Glide 2 Double,thule-urban-glide-2-double,10,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Thule,Urban Glide 4-Wheel Single Child,cmqx8d76m001w13kpohpwn912,4,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
UPPAbaby,Cruz V2,uppababy-cruz-v2,22,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
UPPAbaby,G-LUXE,cmqpqr2io002i7qll55aao8zt,0,canonical Stroller not in public picker (no compat rows),RETAIN_LEGACY
UPPAbaby,Minu V2,uppababy-minu-v2,15,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
UPPAbaby,Ridge,uppababy-ridge,13,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
UPPAbaby,Vista V2,uppababy-vista-v2,20,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,All-Terrain Cruiser,cmqpqr2q1002l7qllrfy61aca,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,Cruiser City XL Essentials,cmqpqr2uv002n7qlla8wick7v,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,Cruiser Wagon Comfort Seat for Toddlers,cmqpqr2xa002o7qll2zq1jk9u,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,Cruiser Wagon XL Comfort Seat for Toddlers,cmqpqr2zl002p7qll072jlg89,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,Cruiser XL Nap System,cmqpqr31z002q7qllv0snz6ag,18,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Veer,Switch&Jog Jogging,cmqpqr34e002r7qll3fzqhzdz,15,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
WonderFold,L2 Double 2-Seater,cmqx8d7oy002413kpusrmz1ec,17,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Zoe,Tour,cmr3zkwod0003977ime4xp5lt,21,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
Zoe,Twin,cmr3zkwzx0007977ikgtihvzf,17,canonical Stroller not in public picker (has compat rows),NEEDS_HUMAN_REVIEW
