provider,retailer,brand,title,url_policy_status,audit_use,review_status,is_public,price,has_image,affiliate_url
awin_anbbaby,ANB Baby,Agio by Peg Perego,AGIO Car Seat Adapter For Z4 and YPSI Stroller,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,49.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fpeg-perego-car-seat-adapter-for-ypsi%3Fvariant%3D31982217658454
awin_anbbaby,ANB Baby,Baby Jogger,BABY JOGGER Car Seat Adapter - Mounting Bracket - Single - For Chicco / Peg Perego,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,79.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-single-multi%3Fvariant%3D16411856699492
awin_anbbaby,ANB Baby,Baby Jogger,Baby Jogger Chicco / Peg Perego Car Seat Adapter,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,84.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcar-seat-adapter-single-multi-model-city%3Fvariant%3D16412080701540
awin_anbbaby,ANB Baby,Baby Jogger,BABY JOGGER City Mini 2 / Mini GT2 Chicco / Peg Perego Car Seat Adapter - Jet - Black,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,84.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcity-mini-2-mini-gt2-chicco-peg-perego-car-seat-adapter%3Fvariant%3D49935881175326
awin_anbbaby,ANB Baby,BOB Gear,BOB Gear Single Jogging Stroller Adapter for Peg Perego Infant Car Seats - Gray -- Available End Of June,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,79.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbob-gear-single-jogging-stroller-adapter-for-peg-perego-infant-car-seats%3Fvariant%3D49994901979422
awin_anbbaby,ANB Baby,Bumbleride,Bumbleride Single Car Seat Adapter - Peg Perego,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,49,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fbumbleride-single-car-seat-adapter-peg-perego%3Fvariant%3D33497797296214
awin_anbbaby,ANB Baby,Cybex,"Cybex Gazelle S Car Seat Adapter for Graco, Chicco, and Peg Perego",FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,79.95,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fcybex-gazelle-s-graco-chicco-peg-perego-adapter%3Fvariant%3D33374978408534
awin_anbbaby,ANB Baby,Peg Perego,Peg Perego PRIMO VIAGGIO Convertible Kinetic Car Seat - Licorice Black Eco-Leather,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,NEEDS_REVIEW,false,449.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fprimo-viaggio-convertible-kinetic%3Fvariant%3D31376714989654
awin_anbbaby,ANB Baby,Peg Perego,Peg Perego PRIMO VIAGGIO Convertible Kinetic Car Seat - Mercury,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,NEEDS_REVIEW,false,349.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fprimo-viaggio-convertible-kinetic%3Fvariant%3D49725436035358
awin_anbbaby,ANB Baby,Peg Perego,Peg Perego PRIMO VIAGGIO Convertible Kinetic Car Seat - Mon Amour Special Edition,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,NEEDS_REVIEW,false,399.99,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fprimo-viaggio-convertible-kinetic%3Fvariant%3D31376714956886
awin_anbbaby,ANB Baby,Veer,Veer Cruiser Infant Car Seat Adapter - Peg Perego,FALLBACK_RETAILER_NOT_USED,CATALOG_ONLY,AUTO_CATEGORIZED,false,79,True,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fveer-cruiser-infant-car-seat-adapter%3Fvariant%3D39314573295702
babylist_impact,Babylist,Baby Jogger,Baby Jogger Chicco / Peg Perego Car Seat Adapter for City Mini 2 & City Mini GT2,BABYLIST_ALLOWED,CATALOG_ONLY,HIDDEN,false,84.99,True,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-chicco-peg-perego-car-seat-adapter-for-city-mini-2-city-mini-gt2%2F15103%2F219587&partnerpropertyid=7490466
babylist_impact,Babylist,Cybex,Cybex Gazelle S Infant Car Seat Adapter (Graco / Chicco / Peg Perego),BABYLIST_ALLOWED,CATALOG_ONLY,HIDDEN,false,79.95,True,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-gazelle-s-infant-car-seat-adapter%2F26553%2F851066&partnerpropertyid=7490466
babylist_impact,Babylist,Peg Perego,"Peg Perego Car Seat Adapter for Ypsi, Veloce & Vivace Strollers",BABYLIST_ALLOWED,USED_FOR_IKCS0018_NUNA_TRIGGER_ROWS,NEEDS_REVIEW,false,49.99,True,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2428247&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-car-seat-adapter-for-ypsi-veloce-vivace-strollers%2F73090%2F2428247&intsrc=CATF_8981
babylist_impact,Babylist,Peg Perego,Peg Perego Double Adapters for Ypsi Stroller,BABYLIST_ALLOWED,CATALOG_ONLY,AUTO_CATEGORIZED,false,59.99,True,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2428248&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-double-adapters-for-ypsi-stroller%2F73091%2F2428248&intsrc=CATF_8981
babylist_impact,Babylist,Peg Perego,Peg Perego PEG Primo Viaggio Lounge in Mon Amour,BABYLIST_ALLOWED,CATALOG_ONLY,AUTO_CATEGORIZED,false,499.99,True,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2272328&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-peg-primo-viaggio-lounge-reclining-rear-facing-infant-car-seat%2F68707%2F2272328&intsrc=CATF_8981
babylist_impact,Babylist,Peg Perego,Peg Perego PEG Primo Viaggio Lounge in True Black,BABYLIST_ALLOWED,CATALOG_ONLY,AUTO_CATEGORIZED,false,499.99,True,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2272330&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-peg-primo-viaggio-lounge-reclining-rear-facing-infant-car-seat%2F68707%2F2272330&intsrc=CATF_8981
