platform,car_seat_brand,car_seat_model,condition,source_column,pair_type
Cruiser City,UPPAbaby,Mesa,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,UPPAbaby,Mesa V2,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,UPPAbaby,Mesa Max,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,UPPAbaby,Aria,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Nuna,PIPA aire RX,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Nuna,PIPA lite lx,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Nuna,PIPA lite,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Nuna,PIPA RX,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Nuna,PIPA,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Cybex,Aton Q & M,,Cruiser & Cruiser City,COMBINED_SOURCE_ENTRY
Cruiser City,Maxi-Cosi,Mico Max 30,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Maxi-Cosi,Mico 30,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Maxi-Cosi,Nxt,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Maxi-Cosi,Mico AP,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Clek,Liing,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Britax,Cypress,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Britax,Willow,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Britax,Willow S,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Britax,Willow SC,† requires Cruiser seat back folded down,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Chicco,Fit2 (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser City,Chicco,Fit2 LE (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser City,Chicco,Keyfit (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser City,Chicco,Keyfit 35 (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser City,Chicco,Keyfit 30 (all models),,Cruiser & Cruiser City,FAMILY_OR_SYSTEM_CLAIM
Cruiser City,Peg Perego,Primo Viaggio 4-35,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser City,Peg Perego,Primo Viaggio 4-35 Nido,,Cruiser & Cruiser City,EXACT_SOURCE_PAIR
Cruiser XL,Graco,All Graco Click Connect Systems,,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Graco,Baby Jogger City Go,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Graco,Baby Jogger City Mini GT,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Graco,SnugRide SnugLock (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Graco,SnugRide Click Connect,,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Britax,B-Safe 35,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
