id,provider,brand,title,canonicalBrand,canonicalName,tmbcCategory,productType,review_status,needs_review,active_in_feed,retailer,itemGroupId,price,productUrl
cmqsn9kzc00bfrfr667vjtqdm,impact_goodbuygear,Cybex,"Cybex Eos Lux Stroller, 2024, Lava Grey",Cybex,Eos Lux,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,185.99,
cmqsnd58t01exrfr6j4l499yy,impact_goodbuygear,Cybex,"Cybex Eos Stroller, 2024, Black, Ocean Blue",Cybex,Eos,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,172.99,
cmqsn8x6i0049rfr6rqac7eje,impact_goodbuygear,Cybex,"Cybex E-PRIAM2 Stroller, Rose Gold, Sepia Black, 2024",Cybex,E-PRIAM2,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,599.25,
cmr6sgb8f006o4ubx9vou1htk,impact_goodbuygear,Cybex,"Cybex E-PRIAM Electric Stroller, 2021, Chrome With Black Details, Deep Black, without Battery",Cybex,e-Priam Electric,Strollers,full-size stroller,REVIEWED,f,t,GoodBuyGear,,329.99,
cmqphujgt04h3dqwr6g1vgey5,babylist_impact,Cybex,Cybex e-PRIAM Stroller in Matte Black Frame/Cozy Beige Lux Seat,Cybex,Cybex e-PRIAM Stroller in Matte Black Frame/Cozy Beige Lux Seat,Strollers,full-size stroller,REVIEWED,f,t,Babylist,81324,1599.95,https://www.babylist.com/gp/cybex-e-priam-stroller/81324/3045861
cmqu6x9u5007iqut16zz1v9sc,awin_anbbaby,Cybex,Cybex Gazelle S Complete Stroller - Classic Beige,Cybex,Cybex Gazelle S Complete Stroller - Classic Beige,Strollers,single-to-double stroller,REVIEWED,f,t,ANB Baby,,1049.95,
cmqu6x9i4007fqut1k4s56y06,awin_anbbaby,Cybex,Cybex Gazelle S Complete Stroller - Deep Black,Cybex,Cybex Gazelle S Complete Stroller - Deep Black,Strollers,single-to-double stroller,REVIEWED,f,t,ANB Baby,,1049.95,
cmqu6x8yr0079qut1fji7xl5j,awin_anbbaby,Cybex,Cybex Gazelle S Complete Stroller - Navy Blue,Cybex,Cybex Gazelle S Complete Stroller - Navy Blue,Strollers,single-to-double stroller,REVIEWED,f,t,ANB Baby,,1049.95,
cmqu6x987007cqut1fu0olk2y,awin_anbbaby,Cybex,Cybex Gazelle S Complete Stroller - Soho Grey,Cybex,Cybex Gazelle S Complete Stroller - Soho Grey,Strollers,single-to-double stroller,REVIEWED,f,t,ANB Baby,,1049.95,
cmqsna7kf00ifrfr6xz5el8re,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2020, Moon Black, Silver Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2020, Moon Black, Silver Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,472.49,
cmqsnf2fi0209rfr6sixnzbfj,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2022, Moon Black, Silver Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2022, Moon Black, Silver Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,594.29,
cmqsndeec01hrrfr6874591e2,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2023, Black Frame, Moon Black",Cybex,"Cybex Gazelle S Modular Stroller, 2023, Black Frame, Moon Black",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,472.49,
cmqsndj8901j9rfr6gghtfvyd,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2023, Moon Black, Silver Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2023, Moon Black, Silver Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,594.29,
cmqsnd6xz01ffrfr6kla4qf0h,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2023, Seashell Beige, Taupe Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2023, Seashell Beige, Taupe Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,594.29,
cmqsn9bw2008lrfr6r5bv7fp4,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2024, Moon Black, Silver Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2024, Moon Black, Silver Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,504.99,
cmqsnf6s1021lrfr6f7niqfsb,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2024, Seashell Beige, Taupe Frame",Cybex,"Cybex Gazelle S Modular Stroller, 2024, Seashell Beige, Taupe Frame",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,594.29,
cmqsnav9q00purfr602rg4kxs,impact_goodbuygear,Cybex,"Cybex Gazelle S Modular Stroller, 2025, Black Frame, Moon Black",Cybex,"Cybex Gazelle S Modular Stroller, 2025, Black Frame, Moon Black",Strollers,single-to-double stroller,REVIEWED,f,t,GoodBuyGear,,472.49,
cmqphurwr04jrdqwrg0035oof,babylist_impact,Cybex,Cybex Gazelle S Single to Double Stroller + Cot Bundle in Moon Black/Silver Frame,Cybex,Cybex Gazelle S Single to Double Stroller + Cot Bundle in Moon Black/Silver Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,63407,1349.95,https://www.babylist.com/gp/cybex-gazelle-s-single-to-double-stroller-cot-bundle/63407/2204845
cmqzu9v64000o13vrjyl1eba6,shopify_macrobaby,Cybex,"Cybex Gazelle S Single-to-Double Stroller, Silver Frame With Stone Grey Seat",Cybex,Gazelle S,Strollers,single-to-double stroller,REVIEWED,f,t,MacroBaby,7660536463419,899.95,https://www.macrobaby.com/products/cybex-gazelle-s-single-to-double-stroller-silver-frame-with-stone-grey-seat?_j=taylormadebabyco.com
cmqphuu1t04kfdqwrxokykewd,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Black Frame/Moon Black,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Black Frame/Moon Black,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050114
cmqphuuua04kodqwr25w5ji96,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Silver Frame/Moon Black,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Silver Frame/Moon Black,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050117
