id,provider,brand,title,tmbcCategory,productType,price,affiliateUrl,imageUrl,active_in_feed
cmqx6m2ss00263ld4jk3l2wdv,shopify_macrobaby,Peg Perego,"Agio by Peg Perego Primo Viaggio Car Seat Adapter for Z4 Strollers, Black",Travel Systems & Adapters,stroller adapter,49.99,https://www.macrobaby.com/products/agio-by-peg-perego-primo-viaggio-car-seat-adapter-for-z4-strollers-black?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/agio-by-peg-perego-primo-viaggio-car-seat-adapter-for-z4-strollers-black_image_1.jpg?v=1776378828,t
cmqx6lmur001i3ld44f9rp47z,shopify_macrobaby,Peg Perego,Peg-Perego Agio - Ypsi/Z4 Double Adapter Upper & Lower Adapters,Travel Systems & Adapters,stroller adapter,59.99,https://www.macrobaby.com/products/peg-perego-agio-ypsi-z4-double-adapter-upper-lower-adapters?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/peg-perego-agio-ypsi-z4-double-adapter-upper-lower-adapters_image_1.jpg?v=1776379190,t
cmqpiwye60gicdqwr9l1cu095,babylist_impact,Peg Perego,"Peg Perego Car Seat Adapter for Ypsi, Veloce & Vivace Strollers",Travel Systems & Adapters,infant car seat adapter,49.99,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2428247&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-car-seat-adapter-for-ypsi-veloce-vivace-strollers%2F73090%2F2428247&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/ce95752efdbb56c6b40740bd5b3e8dfbfd9aefd0e8898ed3ee9d83ca0fe374c3/1511b9f35d6ffc9ab2904c44fe859335/ce95752efdbb56c6b40740bd5b3e8dfbfd9aefd0e8898ed3ee9d83ca0fe374c3.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmrdwvb9e000o7tmagfv7nmec,manual_tmbc,Peg Perego,Peg Perego City Loop Duo Adapter,Travel Systems & Adapters,Travel Systems & Adapters,,https://amzn.to/3R2u2ql,https://www.pegperego.com/media/catalog/product/features/IKAC0040-EXTRA02.jpg,t
cmqpiwynh0gifdqwr1bnyqqbj,babylist_impact,Peg Perego,Peg Perego Double Adapters for Ypsi Stroller,Travel Systems & Adapters,stroller adapter,59.99,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2428248&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fpeg-perego-double-adapters-for-ypsi-stroller%2F73091%2F2428248&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/83c7756cf0c0b4567770624bd6ba85de100ef9a4cf04237cd6cea96b02cde3d2/67d52b57169c204b0ac25e4019d9ab01/83c7756cf0c0b4567770624bd6ba85de100ef9a4cf04237cd6cea96b02cde3d2.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqx6m6xx002r3ld4jsgx1ort,shopify_macrobaby,Peg Perego,Peg-Perego - Duo Adapter for City Loop Stroller,Travel Systems & Adapters,compact stroller,49.99,https://www.macrobaby.com/products/peg-perego-duo-adapter-for-city-loop-stroller?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/peg-perego-duo-adapter-for-city-loop-stroller_image_1.jpg?v=1776378924,t
cmqx6m5s7002i3ld400ddpqbm,shopify_macrobaby,Peg Perego,Peg Perego - Foldable Car Seat Adapter for City Loop,Travel Systems & Adapters,compact stroller,49.99,https://www.macrobaby.com/products/peg-perego-foldable-car-seat-adapter-for-city-loop?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/peg-perego-foldable-car-seat-adapter-for-city-loop_image_1.jpg?v=1776378934,t
cmr2gpdo8000fdm5jrtyjou0l,manual_tmbc,Silver,Silver Cross Wave Car Seat Adapter,Travel Systems & Adapters,car seat adapter,,https://www.amazon.com/dp/B07XJYCNVG?tag=taylormadebab-20,,t
cmqu9dgkr000u6byedqoqr277,awin_anbbaby,Silver Cross,SILVER CROSS Coast/Wave Lower Car Seat Adapter,Travel Systems & Adapters,stroller adapter,59.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fsilver-cross-coast-wave-lower-car-seat-adapter-2019%3Fvariant%3D29511669514326,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/silver-cross-coastwave-lower-car-seat-adapterscsx5134euanb-babyanb-baby-857720.jpg?v=1739534982,t
cmqu9dg8e000r6bye3be6k0dl,awin_anbbaby,Silver Cross,SILVER CROSS Coast / Wave Main Car Seat Adapter,Travel Systems & Adapters,stroller adapter,59.99,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fsilver-cross-coast-wave-main-car-seat-adapter-2019%3Fvariant%3D29511571996758,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/silver-cross-coast-wave-main-car-seat-adapterscsx5135euanb-babyanb-baby-107517.jpg?v=1739534980,t
cmqx6mfk600333ld4llcpha0o,shopify_macrobaby,Silver Cross,Silver Cross Cove 2 Universal Car Seat Adapters,Travel Systems & Adapters,stroller adapter,59.99,https://www.macrobaby.com/products/silver-cross-cove-2-universal-car-seat-adapters?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/silver-cross-cove-2-universal-car-seat-adapters_image_1.jpg?v=1781615788,t
cmqpiyywy0h5cdqwr7f5ksudz,babylist_impact,Silver Cross,Silver Cross Dune/Reef Universal Car Seat Adapters in Black,Travel Systems & Adapters,stroller adapter,59.99,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1185762&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fsilver-cross-dune-reef-universal-car-seat-adapters%2F25568%2F1185762&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/eae76be704a0193e54c575a1f74ad85ba0c73a5984a45b33353a40a9cb82ea26/93ab7f07d6470aabee45f4b6ada364f7/eae76be704a0193e54c575a1f74ad85ba0c73a5984a45b33353a40a9cb82ea26.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqx4kuzr00k03a8u8kafnp86,shopify_macrobaby,Silver Cross,"Silver Cross - Dune, Reef Universal Car Seat Adaptors",Travel Systems & Adapters,stroller adapter,59.99,https://www.macrobaby.com/products/silver-cross-dune-reef-universal-car-seat-adaptors-1?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/silver-cross-dune-reef-universal-car-seat-adaptors-1_image_1.jpg?v=1776459965,t
cmqpiyz6g0h5fdqwr27sqd4vc,babylist_impact,Silver Cross,Silver Cross Jet 5 Double Car Seat Adapters in Black,Travel Systems & Adapters,stroller adapter,59.99,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2186944&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fsilver-cross-jet-5-double-car-seat-adapters%2F60418%2F2186944&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/d17ba760646a257981e192f03431d0b89be9c668cce134451f41645de009b828/6abeaf974db5cccc854f9360bf3f93c7/d17ba760646a257981e192f03431d0b89be9c668cce134451f41645de009b828.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
