brand,model,gbgPrice,originalPrice,pctOff,inStock,gbgTitle,url
Mompush,Wiz,76.99,169.99,55,true,"Mompush Wiz Stroller, 2025, Sage",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43946627268711&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fmompush-wiz-stroller-2025-sage-9&intsrc=APIG_26298
Silver Cross,Wave,629.99,1399.99,55,true,"Silver Cross Wave Stroller, Lunar, Unknown Year",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44112659316839&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-wave-stroller-lunar-unknown-year-1&intsrc=APIG_26298
Cybex,MIOS,252.99,549.95,54,true,"Cybex MIOS Stroller, 2019, Deep Black, Matte Black",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41840695574631&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-mios-stroller-2019-deep-black-matte-black&intsrc=APIG_26298
Graco,Modes Pramette,114.71,249.99,54,true,"Graco Modes Pramette Stroller, 2025, Lilac Mod",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43839403786343&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fgraco-modes-pramette-stroller-2025-lilac-mod&intsrc=APIG_26298
Romer,Tura,388.38,849.99,54,true,"Romer Tura Stroller, 2024, Peppercorn",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41908223541351&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fromer-tura-stroller-2024-peppercorn-1&intsrc=APIG_26298
Romer,Tura,388.38,849.99,54,true,"Romer Tura Stroller, 2024, Peppercorn",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41869783007335&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fromer-tura-stroller-2024-peppercorn&intsrc=APIG_26298
Romer,Tura,388.38,849.99,54,true,"Romer Tura Stroller, 2024, Pearl",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41699024732263&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fromer-tura-stroller-2024-pearl&intsrc=APIG_26298
Silver Cross,Reef 2,569.99,1199.99,53,true,"Silver Cross Reef 2 Stroller, 2025, Frappe",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=44104746369127&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fsilver-cross-reef-2-stroller-2025-frappe-3&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Matte Black, Mirage Grey",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43861518286951&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-matte-black-mirage-grey-1&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Matte Black, Peach Pink",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43839608356967&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-matte-black-peach-pink&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Mirage Grey, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42185508716647&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-mirage-grey-rose-gold&intsrc=APIG_26298
