category,stroller,seat_brand,seat_model,type,has_link,has_image
(uncategorized),UPPAbaby Ridge,Maxi-Cosi,Peri 180,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,UPPAbaby,Mesa V3,ADAPTER,false,false
(uncategorized),UPPAbaby Ridge,Cybex,Cloud G Pro Comfort Extend,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,UPPAbaby,Mesa Max,ADAPTER,false,false
(uncategorized),UPPAbaby Ridge,Maxi-Cosi,Ambra,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Maxi-Cosi,Mico Luxe,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Maxi-Cosi,Coral XP,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Cybex,Cloud T,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Cybex,Aton G,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Nuna,PIPA Aire rx,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Nuna,PIPA Aire,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Nuna,PIPA urbn,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Nuna,PIPA RX,ADAPTER,true,true
(uncategorized),UPPAbaby Ridge,Maxi-Cosi,Mico Pro,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Cybex,Aton G,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Cybex,Cloud T,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Cybex,Cloud G Pro Comfort Extend,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Maxi-Cosi,Ambra,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Britax,Cypress S,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Britax,Willow S,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,UPPAbaby,Aria V2,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,UPPAbaby,Mesa V3,ADAPTER,true,true
(uncategorized),UPPAbaby Vista V2,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Clek,Liingo,LIMITED,false,false
(uncategorized),UPPAbaby Vista V2,Clek,Liing,LIMITED,false,false
(uncategorized),UPPAbaby Vista V2,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Chicco,Fit2,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),UPPAbaby Vista V2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,UPPAbaby,Aria,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,Chicco,Fit2,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Nuna,PIPA Aire,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Nuna,PIPA urbn,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Nuna,PIPA RX,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Cybex,Aton G,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,Cybex,Cloud T,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,Chicco,KeyFit 35,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Cybex,Cloud G Pro Comfort Extend,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,Maxi-Cosi,Ambra,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,UPPAbaby,Mesa Max,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,Clek,Liing,LIMITED,false,false
Single-to-Double,UPPAbaby Vista V3,Nuna,PIPA Aire rx,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Maxi-Cosi,Peri 180,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Maxi-Cosi,Coral XP,ADAPTER,false,false
Single-to-Double,UPPAbaby Vista V3,Clek,Liingo,LIMITED,false,false
Single-to-Double,UPPAbaby Vista V3,UPPAbaby,Aria V2,ADAPTER,true,true
Single-to-Double,UPPAbaby Vista V3,UPPAbaby,Mesa V3,ADAPTER,true,true
